text,likes,platform,num_palabras
👏👏👏,1.0,Instagram,1
😍😍😍,1.0,Instagram,1
"Meu querido @euwanderson7  que  foi nosso delegado representando o nosso estado e o Vale do Sambito, Novo Oriente do Piauí.",1.0,Instagram,20
"Com o professor Matheus Carvalho, realmente  sensacional 👏👏👏👏",3.0,Instagram,8
"@rafael.fonteles todo ano é isso. O único município na América do Sul, que fica sem água quando a água chega. Os cidadãos já não aguentam mais. Vai resolver isso quando? Delega alguém pra RESOLVER esse problema, meu camarada. Não existe isso, com orçamento que tem, 6 dias sem água. Vocês não resolvem pq não querem.",1.0,Instagram,55
👏❤️,2.0,Instagram,1
👏👏👏,2.0,Instagram,1
"Ovinos, bubalinos , bovinos, equinos",1.0,Instagram,5
O cadastro é grátis ou paga taxa?,1.0,Instagram,7
Orgulho dessa arquiteta genial que está a frente desse projeto de construção! @marinabsant,1.0,Instagram,13
"Ficou muito linda, e a inauguração foi emocionante!👏👏👏",3.0,Instagram,8
Foi enriquecedor 👏🏻👏🏻👏🏻,2.0,Instagram,3
👍👍👏👏,1.0,Instagram,1
"Pura propaganda mentirosa, tem médico sendo bloqueado pq pede exames para o paciente, aí fica 45 dias o médico bloqueado e o segurado sem atendimento, uma das piores gestão.",1.0,Instagram,29
Onde posso tira passe livre cultural e quais documentos pq ligamos e ninguém atende,1.0,Instagram,14
😍👏👏,2.0,Instagram,1
Queremos uns exemplares pra distribuir em nossa loja 😍,1.0,Instagram,9
👏👏👏,1.0,Instagram,1
👏👏👏👏👏,2.0,Instagram,1
Muito feliz em fazer parte dessa equipe ❤️🤗,1.0,Instagram,8
Quando vai ser o próximo? Já preciso,1.0,Instagram,7
❤️❤️❤️,1.0,Instagram,1
"Amei a tudo que vi em Teresina e nas cidades visitadas( São Raimundo Nonato, Amarante, e Serra e Ópera da Capivara) e a PROCISSÃO das SANFONAS!!!",2.0,Instagram,26
👏👏👏,2.0,Instagram,1
👏👏👏👏👏,1.0,Instagram,1
👏👏👏,1.0,Instagram,1
Lindo e necessário,3.0,Instagram,3
"Recomendamos, nossa equipe fez esse curso e sanou muitas dúvidas. após o curso tem uma mentoria de excelência.",1.0,Instagram,18
Uma dúvida...fiz o pedido dos passes pelo aplicativo do gov.pi cidadão...onde eu vejo se foi aprovado ou não?,1.0,Instagram,18
Quem está precisando de saúde física e mental e os consumidores da agespisa em Pedro II a situação aqui está séria é muita falta de respeito o que a agespisa de pedroII está fazendo com agente .,9.0,Instagram,37
👏👏👏👏👏,3.0,Instagram,1
Foi ótimo! Parabéns à coordenação do evento e todos os demais participantes. 👏🏽👏🏽🤍,1.0,Instagram,13
